name	number (g)
Fat	78
Fiber	28
Sugars	50
Iron	0.018
Zinc	0.011
Protein	50
Sodium	2.3
Calcium	1.3
Niacin	0.016
Choline	0.55
Chloride	2.3
Folate	0.0004
Copper	0.0009
Potassium	4.7
Biotin	0.00003
Thiamin	0.0012
Iodine	0.00015
Vitamin C	0.09
Magnesium	0.42
Vitamin E	0.015
Cholesterol	0.3
Phosphorus	1.25
Vitamin A	0.0009
Manganese	0.0023
Saturated Fat	20
Carbohydrate	275
Vitamin D	0.00002
Selenium	0.000055
Chromium	0.000035
Vitamin K	0.00012
Riboflavin	0.0013
Vitamin B 6	0.0017
Molybdenum	0.000045
Vitamin B 12	0.0000024
Pantothenic Acid	0.005
